0.0204589	0
1.02	40644
2.02021	48564
3.02037	36448
4.02009	30054
5.02104	23093
6.02131	16817
7.02109	12399
8.02139	6782
9.02227	6892
10.0239	4765
11.0256	2490
12.0253	2760
13.0255	2142
14.0293	2206
15.0334	2678
16.0354	3357
17.0362	3775
18.0365	3196
19.0372	2927
20.0408	3040
21.043	3093
22.0438	3483
23.0436	3885
24.0431	3500
25.0465	3814
26.047	3533
27.0486	3991
28.0501	4686
29.053	3288
30.0547	2548
31.0594	2517
32.0611	2031
33.0614	2444
34.0628	2274
35.0645	2634
36.0643	2421
37.067	2007
38.0663	2468
39.0706	3415
40.073	2979
41.0773	2604
42.09	2342
43.0908	2930
44.0923	3286
45.0952	3864
46.0977	4276
47.0971	4286
48.0986	4257
49.0995	4646
50.0993	5301
51.1014	5051
52.1011	5109
53.1035	5705
54.1062	5744
55.1068	5243
56.1077	4220
57.1079	4601
58.1087	4983
59.1082	4468
60.1088	4927
61.1092	4017
62.1104	4596
63.1132	3933
64.1136	4334
65.1135	4722
66.1132	5085
67.1143	5202
68.1152	5443
69.1156	5568
70.1161	5830
71.1171	6314
72.1171	7266
73.1179	6635
74.1174	7845
75.1182	6048
76.1187	5785
77.1181	6066
78.1183	5871
79.1181	5957
80.1201	6525
81.1213	5759
82.1232	6286
83.125	5837
84.1243	5864
85.1251	6055
86.1252	4870
87.125	5200
88.1258	4883
89.1264	4941
90.1267	5041
91.1277	5133
92.1274	5295
93.1281	5413
94.1287	5403
95.1281	5054
96.1301	4814
97.1302	5028
98.131	5987
99.1308	6328
100.13	6373
101.13	6826
102.131	6215
103.131	6854
104.133	6415
105.133	6326
106.135	5614
107.137	4183
108.139	4548
109.14	5668
110.141	5472
111.141	5823
112.142	3988
113.142	4308
114.143	4675
115.144	5085
116.145	5567
117.146	5087
118.147	4919
119.146	4558
