0.0304589	0
1.0301	23420
2.03007	28595
3.03044	28003
4.03021	29079
5.03004	29830
6.03002	29060
7.03021	30620
8.03009	28949
9.03006	28515
10.0307	31650
11.0302	30741
12.0301	28938
13.03	27765
14.0307	30814
15.0304	28746
16.0303	29918
17.03	28526
18.0302	30076
19.0301	29206
20.0301	28554
21.03	26774
22.0303	26542
23.03	26651
24.0301	26954
25.03	27464
26.03	28845
27.0303	30456
28.0304	28629
29.0302	30287
30.03	35498
31.0302	33876
32.0301	31778
33.0303	33076
34.0302	31476
35.0303	27538
36.0304	29971
37.03	28142
38.0302	28291
39.0301	28310
40.0303	28191
41.0302	27682
42.0301	28312
43.03	27658
44.0301	28239
45.03	27173
46.0322	24025
47.0321	25910
48.0322	25343
49.0322	25961
50.0321	25657
51.0324	25478
52.0321	26069
53.0322	24760
54.0322	25985
55.032	25284
56.0322	25342
57.0326	25198
58.0323	25245
59.0322	22349
60.0323	23112
61.0322	22979
62.0322	27076
63.0323	26846
64.0324	25366
65.0322	25708
66.0323	25487
67.0327	25137
68.032	25550
69.0323	25415
70.0322	26470
71.0323	25172
72.0324	22034
73.0321	25271
74.0322	24057
75.0321	24967
76.032	24592
77.0322	25185
78.0321	25414
79.0322	24107
80.0321	25780
81.0322	24797
82.0323	23394
83.0323	21582
84.0326	23816
85.0323	24106
86.0322	24711
87.032	23302
88.032	24450
89.0322	23840
90.0321	23670
91.0322	24810
92.0321	23488
93.0327	24229
94.0322	23874
95.0326	22448
96.0329	21864
97.0323	23087
98.032	22519
99.0321	22664
100.032	23343
101.032	24312
102.032	23281
103.032	24460
104.032	23997
105.032	23220
106.032	24458
107.032	23415
108.033	22234
109.032	21375
110.032	22918
111.033	21948
112.032	23270
113.033	22712
114.033	22180
115.032	22459
116.032	21562
117.032	22250
118.032	22168
119.032	21101
